time,input,measurement
0.0000,0.000000,0.003047
0.0200,0.000000,-0.010400
0.0400,0.000000,0.007505
0.0600,0.000000,0.009406
0.0800,0.000000,-0.019510
0.1000,0.000000,-0.013022
0.1200,0.000000,0.001278
0.1400,0.000000,-0.003162
0.1600,0.000000,-0.000168
0.1800,0.000000,-0.008530
0.2000,0.000000,0.008794
0.2200,0.000000,0.007778
0.2400,0.000000,0.000660
0.2600,0.000000,0.011272
0.2800,0.000000,0.004675
0.3000,0.000000,-0.008593
0.3200,0.000000,0.003688
0.3400,0.000000,-0.009589
0.3600,0.000000,0.008785
0.3800,0.000000,-0.000499
0.4000,0.000000,-0.001849
0.4200,0.000000,-0.006809
0.4400,0.000000,0.012225
0.4600,0.000000,-0.001545
0.4800,0.000000,-0.004283
0.5000,0.000000,-0.003521
0.5200,0.000000,0.005323
0.5400,0.000000,0.003654
0.5600,0.000000,0.004127
0.5800,0.000000,0.004308
0.6000,0.000000,0.021416
0.6200,0.000000,-0.004064
0.6400,0.000000,-0.005122
0.6600,0.000000,-0.008138
0.6800,0.000000,0.006160
0.7000,0.000000,0.011290
0.7200,0.000000,-0.001139
0.7400,0.000000,-0.008402
0.7600,0.000000,-0.008245
0.7800,0.000000,0.006506
0.8000,0.000000,0.007433
0.8200,0.000000,0.005432
0.8400,0.000000,-0.006655
0.8600,0.000000,0.002322
0.8800,0.000000,0.001167
0.9000,0.000000,0.002187
0.9200,0.000000,0.008714
0.9400,0.000000,0.002236
0.9600,0.000000,0.006789
0.9800,0.000000,0.000676
1.0000,1.000000,0.002891
1.0200,1.000000,0.006313
1.0400,1.000000,-0.014572
1.0600,1.000000,-0.003197
1.0800,1.000000,-0.004704
1.1000,1.000000,-0.006389
1.1200,1.000000,-0.002751
1.1400,1.000000,0.014949
1.1600,1.000000,-0.008658
1.1800,1.000000,0.009683
1.2000,1.000000,-0.016829
1.2200,1.000000,-0.003349
1.2400,1.000000,0.001628
1.2600,1.000000,0.005862
1.2800,1.000000,0.007112
1.3000,1.000000,0.007933
1.3200,1.000000,-0.003487
1.3400,1.000000,-0.004624
1.3600,1.000000,0.008580
1.3800,1.000000,-0.001913
1.4000,1.000000,-0.012757
1.4200,1.000000,-0.011333
1.4400,1.000000,-0.009195
1.4600,1.000000,0.004972
1.4800,1.000000,0.001424
1.5000,1.000000,0.020238
1.5200,1.000000,0.022305
1.5400,1.000000,0.041319
1.5600,1.000000,0.059058
1.5800,1.000000,0.062690
1.6000,1.000000,0.083246
1.6200,1.000000,0.084868
1.6400,1.000000,0.100580
1.6600,1.000000,0.113032
1.6800,1.000000,0.117445
1.7000,1.000000,0.146744
1.7200,1.000000,0.149568
1.7400,1.000000,0.166692
1.7600,1.000000,0.183597
1.7800,1.000000,0.195396
1.8000,1.000000,0.209645
1.8200,1.000000,0.213987
1.8400,1.000000,0.222639
1.8600,1.000000,0.237895
1.8800,1.000000,0.233561
1.9000,1.000000,0.247627
1.9200,1.000000,0.260457
1.9400,1.000000,0.275221
1.9600,1.000000,0.300623
1.9800,1.000000,0.298926
2.0000,1.000000,0.315480
2.0200,1.000000,0.343458
2.0400,1.000000,0.338034
2.0600,1.000000,0.360027
2.0800,1.000000,0.354298
2.1000,1.000000,0.372489
2.1200,1.000000,0.375880
2.1400,1.000000,0.392754
2.1600,1.000000,0.415240
2.1800,1.000000,0.400185
2.2000,1.000000,0.432352
2.2200,1.000000,0.440865
2.2400,1.000000,0.442957
2.2600,1.000000,0.444778
2.2800,1.000000,0.470232
2.3000,1.000000,0.474419
2.3200,1.000000,0.492176
2.3400,1.000000,0.500135
2.3600,1.000000,0.525935
2.3800,1.000000,0.517458
2.4000,1.000000,0.519484
2.4200,1.000000,0.541313
2.4400,1.000000,0.551457
2.4600,1.000000,0.572521
2.4800,1.000000,0.576887
2.5000,1.000000,0.581648
2.5200,1.000000,0.602191
2.5400,1.000000,0.585087
2.5600,1.000000,0.599931
2.5800,1.000000,0.606354
2.6000,1.000000,0.620950
2.6200,1.000000,0.620249
2.6400,1.000000,0.649474
2.6600,1.000000,0.649946
2.6800,1.000000,0.646446
2.7000,1.000000,0.659924
2.7200,1.000000,0.682081
2.7400,1.000000,0.696134
2.7600,1.000000,0.716469
2.7800,1.000000,0.734330
2.8000,1.000000,0.717967
2.8200,1.000000,0.712503
2.8400,1.000000,0.709595
2.8600,1.000000,0.742053
2.8800,1.000000,0.739651
2.9000,1.000000,0.751975
2.9200,1.000000,0.758300
2.9400,1.000000,0.771250
2.9600,1.000000,0.791500
2.9800,1.000000,0.790538
3.0000,1.000000,0.795455
3.0200,1.000000,0.794705
3.0400,1.000000,0.796280
3.0600,1.000000,0.816077
3.0800,1.000000,0.828263
3.1000,1.000000,0.854288
3.1200,1.000000,0.845668
3.1400,1.000000,0.861896
3.1600,1.000000,0.854729
3.1800,1.000000,0.855474
3.2000,1.000000,0.865224
