time,input,measurement
0.0000,0.000000,0.000000
0.0200,0.000000,0.000000
0.0400,0.000000,0.000000
0.0600,0.000000,0.000000
0.0800,0.000000,0.000000
0.1000,0.000000,0.000000
0.1200,0.000000,0.000000
0.1400,0.000000,0.000000
0.1600,0.000000,0.000000
0.1800,0.000000,0.000000
0.2000,0.000000,0.000000
0.2200,0.000000,0.000000
0.2400,0.000000,0.000000
0.2600,0.000000,0.000000
0.2800,0.000000,0.000000
0.3000,0.000000,0.000000
0.3200,0.000000,0.000000
0.3400,0.000000,0.000000
0.3600,0.000000,0.000000
0.3800,0.000000,0.000000
0.4000,0.000000,0.000000
0.4200,0.000000,0.000000
0.4400,0.000000,0.000000
0.4600,0.000000,0.000000
0.4800,0.000000,0.000000
0.5000,0.000000,0.000000
0.5200,0.000000,0.000000
0.5400,0.000000,0.000000
0.5600,0.000000,0.000000
0.5800,0.000000,0.000000
0.6000,0.000000,0.000000
0.6200,0.000000,0.000000
0.6400,0.000000,0.000000
0.6600,0.000000,0.000000
0.6800,0.000000,0.000000
0.7000,0.000000,0.000000
0.7200,0.000000,0.000000
0.7400,0.000000,0.000000
0.7600,0.000000,0.000000
0.7800,0.000000,0.000000
0.8000,0.000000,0.000000
0.8200,0.000000,0.000000
0.8400,0.000000,0.000000
0.8600,0.000000,0.000000
0.8800,0.000000,0.000000
0.9000,0.000000,0.000000
0.9200,0.000000,0.000000
0.9400,0.000000,0.000000
0.9600,0.000000,0.000000
0.9800,0.000000,0.000000
1.0000,1.000000,0.000000
1.0200,1.000000,0.000000
1.0400,1.000000,0.000000
1.0600,1.000000,0.000000
1.0800,1.000000,0.000000
1.1000,1.000000,0.000000
1.1200,1.000000,0.000000
1.1400,1.000000,0.000000
1.1600,1.000000,0.000000
1.1800,1.000000,0.000000
1.2000,1.000000,0.010000
1.2200,1.000000,0.020000
1.2400,1.000000,0.030000
1.2600,1.000000,0.040000
1.2800,1.000000,0.050000
1.3000,1.000000,0.060000
1.3200,1.000000,0.070000
1.3400,1.000000,0.080000
1.3600,1.000000,0.090000
1.3800,1.000000,0.100000
1.4000,1.000000,0.110000
1.4200,1.000000,0.120000
1.4400,1.000000,0.130000
1.4600,1.000000,0.140000
1.4800,1.000000,0.150000
1.5000,1.000000,0.160000
1.5200,1.000000,0.170000
1.5400,1.000000,0.180000
1.5600,1.000000,0.190000
1.5800,1.000000,0.200000
1.6000,1.000000,0.210000
1.6200,1.000000,0.220000
1.6400,1.000000,0.230000
1.6600,1.000000,0.240000
1.6800,1.000000,0.250000
1.7000,1.000000,0.260000
1.7200,1.000000,0.270000
1.7400,1.000000,0.280000
1.7600,1.000000,0.290000
1.7800,1.000000,0.300000
1.8000,1.000000,0.310000
