time,input,measurement
0.0000,0.000000,-0.049456
0.0500,0.000000,-0.018389
0.1000,0.000000,0.064396
0.1500,0.000000,0.009699
0.2000,0.000000,0.046012
0.2500,0.000000,0.028855
0.3000,0.000000,-0.031823
0.3500,0.000000,0.027098
0.4000,0.000000,-0.015830
0.4500,0.000000,-0.016119
0.5000,0.000000,0.004858
0.5500,0.000000,-0.076297
0.6000,0.000000,0.059608
0.6500,0.000000,-0.033554
0.7000,0.000000,0.050013
0.7500,0.000000,0.006816
0.8000,0.000000,0.076602
0.8500,0.000000,-0.032998
0.9000,0.000000,-0.015590
0.9500,0.000000,0.016888
1.0000,0.000000,-0.110374
1.0500,0.000000,0.041396
1.1000,0.000000,0.077082
1.1500,0.000000,0.056340
1.2000,0.000000,0.037738
1.2500,0.000000,-0.007299
1.3000,0.000000,0.064095
1.3500,0.000000,0.053702
1.4000,0.000000,0.019631
1.4500,0.000000,0.000256
1.5000,0.000000,-0.018088
1.5500,0.000000,-0.061512
1.6000,0.000000,0.061311
1.6500,0.000000,-0.108602
1.7000,0.000000,-0.018507
1.7500,0.000000,0.008219
1.8000,0.000000,0.042994
1.8500,0.000000,0.088083
1.9000,0.000000,0.049666
1.9500,0.000000,-0.014576
2.0000,1.000000,0.036406
2.0500,1.000000,-0.063080
2.1000,1.000000,0.071497
2.1500,1.000000,-0.007824
2.2000,1.000000,-0.033688
2.2500,1.000000,-0.031953
2.3000,1.000000,-0.003068
2.3500,1.000000,-0.019639
2.4000,1.000000,0.114495
2.4500,1.000000,-0.035909
2.5000,1.000000,0.001630
2.5500,1.000000,0.001402
2.6000,1.000000,0.001414
2.6500,1.000000,0.002767
2.7000,1.000000,-0.024078
2.7500,1.000000,-0.029170
2.8000,1.000000,-0.043108
2.8500,1.000000,-0.074409
2.9000,1.000000,0.010815
2.9500,1.000000,0.049219
3.0000,1.000000,-0.017154
3.0500,1.000000,-0.008031
3.1000,1.000000,0.013877
3.1500,1.000000,0.016372
3.2000,1.000000,-0.022804
3.2500,1.000000,0.126775
3.3000,1.000000,0.089885
3.3500,1.000000,0.041671
3.4000,1.000000,0.101341
3.4500,1.000000,0.073695
3.5000,1.000000,0.094080
3.5500,1.000000,0.131813
3.6000,1.000000,0.170127
3.6500,1.000000,0.207230
3.7000,1.000000,0.225137
3.7500,1.000000,0.136099
3.8000,1.000000,0.132069
3.8500,1.000000,0.170466
3.9000,1.000000,0.180249
3.9500,1.000000,0.145382
4.0000,1.000000,0.159248
4.0500,1.000000,0.239033
4.1000,1.000000,0.288476
4.1500,1.000000,0.202997
4.2000,1.000000,0.189780
4.2500,1.000000,0.215788
4.3000,1.000000,0.187901
4.3500,1.000000,0.231637
4.4000,1.000000,0.273950
4.4500,1.000000,0.256232
4.5000,1.000000,0.329426
