time,input,measurement
0.0000,0.000000,0.001524
0.0200,0.000000,-0.005200
0.0400,0.000000,0.003752
0.0600,0.000000,0.004703
0.0800,0.000000,-0.009755
0.1000,0.000000,-0.006511
0.1200,0.000000,0.000639
0.1400,0.000000,-0.001581
0.1600,0.000000,-0.000084
0.1800,0.000000,-0.004265
0.2000,0.000000,0.004397
0.2200,0.000000,0.003889
0.2400,0.000000,0.000330
0.2600,0.000000,0.005636
0.2800,0.000000,0.002338
0.3000,0.000000,-0.004296
0.3200,0.000000,0.001844
0.3400,0.000000,-0.004794
0.3600,0.000000,0.004392
0.3800,0.000000,-0.000250
0.4000,0.000000,-0.000924
0.4200,0.000000,-0.003405
0.4400,0.000000,0.006113
0.4600,0.000000,-0.000773
0.4800,0.000000,-0.002142
0.5000,0.000000,-0.001761
0.5200,0.000000,0.002662
0.5400,0.000000,0.001827
0.5600,0.000000,0.002064
0.5800,0.000000,0.002154
0.6000,0.000000,0.010708
0.6200,0.000000,-0.002032
0.6400,0.000000,-0.002561
0.6600,0.000000,-0.004069
0.6800,0.000000,0.003080
0.7000,0.000000,0.005645
0.7200,0.000000,-0.000570
0.7400,0.000000,-0.004201
0.7600,0.000000,-0.004122
0.7800,0.000000,0.003253
0.8000,0.000000,0.003716
0.8200,0.000000,0.002716
0.8400,0.000000,-0.003328
0.8600,0.000000,0.001161
0.8800,0.000000,0.000583
0.9000,0.000000,0.001093
0.9200,0.000000,0.004357
0.9400,0.000000,0.001118
0.9600,0.000000,0.003395
0.9800,0.000000,0.000338
1.0000,1.000000,0.001446
1.0200,1.000000,0.003156
1.0400,1.000000,-0.007286
1.0600,1.000000,-0.001598
1.0800,1.000000,-0.002352
1.1000,1.000000,-0.003194
1.1200,1.000000,-0.001376
1.1400,1.000000,0.007475
1.1600,1.000000,-0.004329
1.1800,1.000000,0.004841
1.2000,1.000000,-0.008414
1.2200,1.000000,-0.001674
1.2400,1.000000,0.000814
1.2600,1.000000,0.002931
1.2800,1.000000,0.003556
1.3000,1.000000,0.003967
1.3200,1.000000,-0.001369
1.3400,1.000000,-0.001200
1.3600,1.000000,0.006488
1.3800,1.000000,0.002664
1.4000,1.000000,-0.001011
1.4200,1.000000,0.001762
1.4400,1.000000,0.005193
1.4600,1.000000,0.014928
1.4800,1.000000,0.016087
1.5000,1.000000,0.022028
1.5200,1.000000,0.019900
1.5400,1.000000,0.026539
1.5600,1.000000,0.032823
1.5800,1.000000,0.032328
1.6000,1.000000,0.040560
1.6200,1.000000,0.039580
1.6400,1.000000,0.045891
1.6600,1.000000,0.050811
1.6800,1.000000,0.051941
1.7000,1.000000,0.065736
1.7200,1.000000,0.066506
1.7400,1.000000,0.074633
1.7600,1.000000,0.082850
1.7800,1.000000,0.088705
